,accession,start,end,strand,gene_name,old_locus_tag,gene_product,ncbi_protein,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
b0011,U00096.3,10643,11356,-,yaaW,,putative enzyme-specific chaperone YaaW,AAC73122.1,316407.85674280,1.81e-160,450.0,"COG4735@1|root,COG4735@2|Bacteria,1R4VH@1224|Proteobacteria,1S3Z6@1236|Gammaproteobacteria,3XNA5@561|Escherichia",2|Bacteria,S,Domain of unknown function (DUF3944),yaaW,-,-,-,-,-,-,-,-,-,-,-,"DUF3944,Ubiq_cyt_C_chap"
b0012,U00096.3,10830,11315,+,mbiA,,uncharacterized protein MbiA,AYC08161.1,,,,,,,,,,,,,,,,,,,,
b0013,U00096.3,11382,11786,-,yaaI,,DUF2541 domain-containing protein YaaI,AAC73124.1,316407.85674282,7.589999999999999e-89,261.0,"29AC0@1|root,2ZXCI@2|Bacteria,1RDBB@1224|Proteobacteria,1S5G0@1236|Gammaproteobacteria,3XPSU@561|Escherichia",2|Bacteria,S,Protein of unknown function (DUF2541),yaaI,-,-,-,-,-,-,-,-,-,-,-,DUF2541
b0014,U00096.3,12163,14079,+,dnaK,,chaperone protein DnaK,AAC73125.1,316407.21321902,0.0,1206.0,"COG0443@1|root,COG0443@2|Bacteria,1MVEN@1224|Proteobacteria,1RMDD@1236|Gammaproteobacteria,3XM30@561|Escherichia",2|Bacteria,O,Heat shock 70 kDa protein,dnaK,"GO:0000166,GO:0000988,GO:0000989,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008144,GO:0008150,GO:0008270,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010033,GO:0010556,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0016989,GO:0017076,GO:0017111,GO:0018995,GO:0019219,GO:0019222,GO:0020003,GO:0022607,GO:0030430,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033554,GO:0033643,GO:0033646,GO:0033655,GO:0034620,GO:0035639,GO:0035966,GO:0035967,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043230,GO:0043531,GO:0043656,GO:0043657,GO:0043933,GO:0044085,GO:0044183,GO:0044215,GO:0044216,GO:0044217,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0065010,GO:0070887,GO:0071310,GO:0071840,GO:0071944,GO:0080090,GO:0097159,GO:0097367,GO:0140110,GO:1901265,GO:1901363,GO:1903506,GO:2001141",-,ko:K04043,"ko03018,ko04212,ko05152,map03018,map04212,map05152",-,-,-,"ko00000,ko00001,ko03019,ko03029,ko03110,ko04147",1.A.33.1,-,-,HSP70
b0015,U00096.3,14168,15298,+,dnaJ,,chaperone protein DnaJ,AAC73126.1,316407.21321903,3.1599999999999996e-242,669.0,"COG0484@1|root,COG0484@2|Bacteria,1MVMS@1224|Proteobacteria,1RNHY@1236|Gammaproteobacteria,3XMY8@561|Escherichia",2|Bacteria,O,"ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins",dnaJ,"GO:0000988,GO:0000989,GO:0003674,GO:0003756,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006457,GO:0006458,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010556,GO:0015035,GO:0015036,GO:0016020,GO:0016032,GO:0016043,GO:0016491,GO:0016667,GO:0016853,GO:0016860,GO:0016864,GO:0016989,GO:0019219,GO:0019222,GO:0022607,GO:0031323,GO:0031326,GO:0032991,GO:0034641,GO:0034645,GO:0042026,GO:0043167,GO:0043169,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051704,GO:0055114,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0140096,GO:0140110,GO:1901360,GO:1901576,GO:1903506,GO:2001141",-,ko:K03686,-,-,-,-,"ko00000,ko03029,ko03110",-,-,-,"DnaJ,DnaJ_C,DnaJ_CXXCXGXG"
b0016,U00096.3,15445,16557,+,insL1,,IS186/IS421 family transposase,AAC73127.1,316407.85675391,4.94e-268,733.0,"COG3385@1|root,COG3385@2|Bacteria,1RCTP@1224|Proteobacteria,1SGPT@1236|Gammaproteobacteria,3XQ8Y@561|Escherichia",2|Bacteria,L,transposase,-,-,-,-,-,-,-,-,-,-,-,-,DDE_Tnp_1
b0018,U00096.3,16751,16960,-,mokC,,regulatory protein MokC,AAC73129.1,316407.21321904,2.12e-40,133.0,"2EFY7@1|root,339QC@2|Bacteria,1NHNZ@1224|Proteobacteria,1SGKV@1236|Gammaproteobacteria",2|Bacteria,S,PFAM Hok gef cell toxic protein,-,"GO:0008150,GO:0022611,GO:0032502",-,"ko:K18919,ko:K18920,ko:K18921",-,-,-,-,"ko00000,ko02048",-,-,-,HOK_GEF
b4412,U00096.3,16751,16903,-,hokC,,small toxic polypeptide HokC,AAT48122.1,316407.21321904,8.6e-26,95.9,"2EFY7@1|root,339QC@2|Bacteria,1NHNZ@1224|Proteobacteria,1SGKV@1236|Gammaproteobacteria",2|Bacteria,S,PFAM Hok gef cell toxic protein,-,"GO:0008150,GO:0022611,GO:0032502",-,"ko:K18919,ko:K18920,ko:K18921",-,-,-,-,"ko00000,ko02048",-,-,-,HOK_GEF
b0019,U00096.3,17489,18655,+,nhaA,,Na(+):H(+) antiporter NhaA,AAC73130.1,316407.21321905,1.36e-265,729.0,"COG3004@1|root,COG3004@2|Bacteria,1MW15@1224|Proteobacteria,1RNDE@1236|Gammaproteobacteria,3XMTC@561|Escherichia",2|Bacteria,P,Na( ) H( ) antiporter that extrudes sodium in exchange for external protons,nhaA,"GO:0003674,GO:0005215,GO:0005451,GO:0005488,GO:0005543,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0006811,GO:0006812,GO:0006814,GO:0006873,GO:0006875,GO:0006883,GO:0006885,GO:0006950,GO:0006970,GO:0008150,GO:0008289,GO:0008324,GO:0009628,GO:0009651,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015081,GO:0015291,GO:0015297,GO:0015298,GO:0015299,GO:0015318,GO:0015385,GO:0015491,GO:0015672,GO:0016020,GO:0016021,GO:0019725,GO:0022804,GO:0022857,GO:0022890,GO:0030001,GO:0030003,GO:0030004,GO:0030641,GO:0031224,GO:0031226,GO:0034220,GO:0035725,GO:0042592,GO:0043157,GO:0043167,GO:0043168,GO:0044425,GO:0044459,GO:0044464,GO:0046873,GO:0048878,GO:0050801,GO:0050896,GO:0051179,GO:0051234,GO:0051453,GO:0055065,GO:0055067,GO:0055078,GO:0055080,GO:0055082,GO:0055085,GO:0065007,GO:0065008,GO:0071944,GO:0098655,GO:0098660,GO:0098662,GO:0098771,GO:0099516,GO:1901611,GO:1901612,GO:1902600",-,ko:K03313,-,-,-,-,"ko00000,ko02000",2.A.33.1,-,"iSF_1195.SF0016,iSFxv_1172.SFxv_0017,iS_1188.S0018",Na_H_antiport_1
b0020,U00096.3,18715,19620,+,nhaR,,DNA-binding transcriptional activator NhaR,AAC73131.1,316407.85674285,3.24e-220,607.0,"COG0583@1|root,COG0583@2|Bacteria,1MVHT@1224|Proteobacteria,1RN7G@1236|Gammaproteobacteria,3XPFK@561|Escherichia",2|Bacteria,K,regulatory protein,nhaR,"GO:0001121,GO:0001130,GO:0001131,GO:0001140,GO:0001216,GO:0003674,GO:0003700,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031334,GO:0032774,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043254,GO:0044087,GO:0044089,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051128,GO:0051130,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0071704,GO:0080090,GO:0090304,GO:0097659,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000142,GO:2000144,GO:2001141",-,ko:K03717,-,-,-,-,"ko00000,ko03000",-,-,-,"HTH_1,LysR_substrate"
b0021,U00096.3,19811,20314,-,insB1,,IS1 family protein InsB,AAC73132.1,316407.85676598,2.18e-122,348.0,"COG1662@1|root,COG1662@2|Bacteria,1RF0C@1224|Proteobacteria,1S5S1@1236|Gammaproteobacteria,3XQAS@561|Escherichia",2|Bacteria,L,hmm pf03400,-,"GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:1901360",-,ko:K07480,-,-,-,-,ko00000,-,-,-,"DDE_Tnp_IS1,Zn_Tnp_IS1"
b0022,U00096.3,20233,20508,-,insA1,,IS1 family protein InsA,AAC73133.1,316407.85676599,2.1699999999999998e-61,188.0,"COG3677@1|root,COG3677@2|Bacteria,1RIB2@1224|Proteobacteria,1S61N@1236|Gammaproteobacteria,3XR04@561|Escherichia",2|Bacteria,L,"transposition, DNA-mediated",insA1,"GO:0006139,GO:0006259,GO:0006310,GO:0006313,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0032196,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0071704,GO:0090304,GO:1901360",-,-,-,-,-,-,-,-,-,-,"DDE_Tnp_IS1,HTH_Tnp_IS1,Zn_Tnp_IS1"
b0023,U00096.3,20815,21078,-,rpsT,,30S ribosomal subunit protein S20,AAC73134.1,316407.21321906,5.2999999999999995e-49,156.0,"COG0268@1|root,COG0268@2|Bacteria,1MZ94@1224|Proteobacteria,1S9AI@1236|Gammaproteobacteria,3XPV1@561|Escherichia",2|Bacteria,J,Binds directly to 16S ribosomal RNA,rpsT,"GO:0000028,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0004857,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008073,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0016043,GO:0019538,GO:0019843,GO:0022607,GO:0022613,GO:0022618,GO:0022626,GO:0022627,GO:0030234,GO:0032991,GO:0034622,GO:0034641,GO:0034645,GO:0040007,GO:0042254,GO:0042255,GO:0042274,GO:0042979,GO:0043043,GO:0043086,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044092,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0050790,GO:0065003,GO:0065007,GO:0065009,GO:0070181,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:0097159,GO:0098772,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",-,ko:K02968,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011",-,-,-,Ribosomal_S20p
b0024,U00096.3,21181,21399,+,yaaY,,DUF2575 domain-containing protein YaaY,AAC73135.1,316407.85674288,3.42e-45,145.0,"2EFES@1|root,3397J@2|Bacteria,1NE6Q@1224|Proteobacteria,1SFJG@1236|Gammaproteobacteria",2|Bacteria,S,cellular response to DNA damage stimulus,yaaY,"GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0033554,GO:0050896,GO:0051716",-,-,-,-,-,-,-,-,-,-,DUF2575
b0025,U00096.3,21407,22348,+,ribF,,bifunctional riboflavin kinase/FMN adenylyltransferase,AAC73136.1,316407.85674289,1.55e-224,619.0,"COG0196@1|root,COG0196@2|Bacteria,1MV9I@1224|Proteobacteria,1RN44@1236|Gammaproteobacteria,3XP3Y@561|Escherichia",2|Bacteria,F,riboflavin biosynthesis protein,ribF,"GO:0003674,GO:0003824,GO:0003919,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0008531,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0016779,GO:0044237,GO:0070566","2.7.1.26,2.7.7.2",ko:K11753,"ko00740,ko01100,ko01110,map00740,map01100,map01110",M00125,"R00161,R00549","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,"iETEC_1333.ETEC_0025,iJN746.PP_0602","FAD_syn,Flavokinase"
